well,serum,dilution_factor,replicate,fastq
G8,NIID_41,5921,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_63_S63_R1_001.fastq.gz
H8,NIID_41,13619,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_64_S64_R1_001.fastq.gz
A9,NIID_42,40,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_65_S65_R1_001.fastq.gz
B9,NIID_42,92,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_66_S66_R1_001.fastq.gz
C9,NIID_42,212,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_67_S67_R1_001.fastq.gz
D9,NIID_42,487,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_68_S68_R1_001.fastq.gz
E9,NIID_42,1119,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_69_S69_R1_001.fastq.gz
F9,NIID_42,2575,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_70_S70_R1_001.fastq.gz
G9,NIID_42,5921,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_71_S71_R1_001.fastq.gz
H9,NIID_42,13619,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_72_S72_R1_001.fastq.gz
A10,NIID_43,40,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_73_S73_R1_001.fastq.gz
B10,NIID_43,92,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_74_S74_R1_001.fastq.gz
C10,NIID_43,212,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_75_S75_R1_001.fastq.gz
D10,NIID_43,487,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_76_S76_R1_001.fastq.gz
E10,NIID_43,1119,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_77_S77_R1_001.fastq.gz
F10,NIID_43,2575,1,/shared/ngs/illumina/bloom_lab/250826_VH00699_584_AACW2HHHV/Unaligned/Project_bloom_lab/PlateB_78_S78_R1_001.fastq.gz
